name;score;marked;communityId;occur;relationships
"plant";10285,834316203984;NULL;NULL;NULL;NULL
"Wednesday";10149,850663746625;NULL;NULL;NULL;NULL
"hospital";10140,403087133964;NULL;NULL;NULL;NULL
"protest";10046,680181139624;NULL;NULL;NULL;NULL
"place";9989,37064048329;NULL;NULL;NULL;NULL
"situation";9982,191841456739;NULL;NULL;NULL;NULL
"ga";9969,542641234744;NULL;NULL;NULL;NULL
"deputy";9870,546975423185;NULL;NULL;NULL;NULL
"death";9837,374701117289;NULL;NULL;NULL;NULL
"tank";9831,513990033958;NULL;NULL;NULL;NULL
"thing";9827,208143266058;NULL;NULL;NULL;NULL
"even";9809,702238837488;NULL;NULL;NULL;NULL
"night";9791,283303234835;NULL;NULL;NULL;NULL
"town";9775,787749610596;NULL;NULL;NULL;NULL
"company";9642,095906808252;NULL;NULL;NULL;NULL
"head";9619,958628713497;NULL;NULL;NULL;NULL
"meet";9580,148406410608;NULL;NULL;NULL;NULL
"emergency";9468,963091692964;NULL;NULL;NULL;NULL
"history";9408,264852684342;NULL;NULL;NULL;NULL
"future";9285,453366842157;NULL;NULL;NULL;NULL
"price";9206,967607494516;NULL;NULL;NULL;NULL
"Tuesday";9182,806003373278;NULL;NULL;NULL;NULL
"sign";9165,169096405152;NULL;NULL;NULL;NULL
"ground";9140,087038417894;NULL;NULL;NULL;NULL
"vehicle";9135,020294190394;NULL;NULL;NULL;NULL
"UN";9101,988138494886;NULL;NULL;NULL;NULL
"zone";9045,467414444965;NULL;NULL;NULL;NULL
"claim";8978,39907098695;NULL;NULL;NULL;NULL
"move";8886,02272846011;NULL;NULL;NULL;NULL
"resident";8830,826017537298;NULL;NULL;NULL;NULL
"Zelensky";8829,898122118904;NULL;NULL;NULL;NULL
"attempt";8828,95539184024;NULL;NULL;NULL;NULL
"mother";8759,223687795813;NULL;NULL;NULL;NULL
"agency";8625,102530209544;NULL;NULL;NULL;NULL
"oil";8570,463077662453;NULL;NULL;NULL;NULL
"law";8566,478546074452;NULL;NULL;NULL;NULL
"Britain";8553,428177090402;NULL;NULL;NULL;NULL
"crime";8472,749069573743;NULL;NULL;NULL;NULL
"authority";8421,214988341128;NULL;NULL;NULL;NULL
"travel";8372,897052130858;NULL;NULL;NULL;NULL
"street";8253,129135285664;NULL;NULL;NULL;NULL
"system";8231,452928671093;NULL;NULL;NULL;NULL
"update";8207,594316048528;NULL;NULL;NULL;NULL
"resistance";8182,0142814451565;NULL;NULL;NULL;NULL
"fire";8153,951652221424;NULL;NULL;NULL;NULL
"Sunday";8128,076016340757;NULL;NULL;NULL;NULL
"fear";8099,317529053754;NULL;NULL;NULL;NULL
"information";8048,783221141715;NULL;NULL;NULL;NULL
"month";8026,942674496762;NULL;NULL;NULL;NULL
"journalist";8015,967817204823;NULL;NULL;NULL;NULL
"side";8013,634691460818;NULL;NULL;NULL;NULL
"aid";8013,6262235096465;NULL;NULL;NULL;NULL
"land";7965,7192224415285;NULL;NULL;NULL;NULL
"2022";7861,110885089915;NULL;NULL;NULL;NULL
"car";7856,48390980288;NULL;NULL;NULL;NULL
"live";7830,580280955259;NULL;NULL;NULL;NULL
"bombardment";7822,790965145283;NULL;NULL;NULL;NULL
"citizen";7812,471740771898;NULL;NULL;NULL;NULL
"cost";7804,835212938144;NULL;NULL;NULL;NULL
"address";7770,420906164534;NULL;NULL;NULL;NULL
"union";7733,865530006881;NULL;NULL;NULL;NULL
"Saturday";7679,089721080022;NULL;NULL;NULL;NULL
"mayor";7667,657317626588;NULL;NULL;NULL;NULL
"sky";7648,569794922407;NULL;NULL;NULL;NULL
"hope";7625,3342390163;NULL;NULL;NULL;NULL
"ally";7620,118999846348;NULL;NULL;NULL;NULL
"reporter";7616,039229365059;NULL;NULL;NULL;NULL
"artillery";7589,586539149211;NULL;NULL;NULL;NULL
"casualty";7508,378290582092;NULL;NULL;NULL;NULL
"truck";7462,252218393467;NULL;NULL;NULL;NULL
"population";7437,563423648313;NULL;NULL;NULL;NULL
"work";7393,8524173005335;NULL;NULL;NULL;NULL
"site";7383,621703453892;NULL;NULL;NULL;NULL
"event";7365,436197211974;NULL;NULL;NULL;NULL
"press";7265,043411925222;NULL;NULL;NULL;NULL
"intelligence";7212,875462379321;NULL;NULL;NULL;NULL
"visa";7202,459320168484;NULL;NULL;NULL;NULL
"mile";7136,4678882278495;NULL;NULL;NULL;NULL
"back";7062,674245434413;NULL;NULL;NULL;NULL
"council";7029,237735197889;NULL;NULL;NULL;NULL
"traffic";7012,282787622783;NULL;NULL;NULL;NULL
"woman";6968,657483934752;NULL;NULL;NULL;NULL
"reuter";6947,876577638551;NULL;NULL;NULL;NULL
"putin";6899,139949480931;NULL;NULL;NULL;NULL
"mp";6873,93970609167;NULL;NULL;NULL;NULL
"police";6822,692492204974;NULL;NULL;NULL;NULL
"corridor";6801,188720046218;NULL;NULL;NULL;NULL
"kharkiv";6777,710401081575;NULL;NULL;NULL;NULL
"evacuation";6759,317649336217;NULL;NULL;NULL;NULL
"gold";6734,389909501947;NULL;NULL;NULL;NULL
"chief";6707,091797129455;NULL;NULL;NULL;NULL
"threat";6702,436085484099;NULL;NULL;NULL;NULL
"handout";6693,773176121178;NULL;NULL;NULL;NULL
"explosion";6659,415394897391;NULL;NULL;NULL;NULL
"control";6655,658044834287;NULL;NULL;NULL;NULL
"life";6616,635299365604;NULL;NULL;NULL;NULL
"AFP";6602,990971307626;NULL;NULL;NULL;NULL
"shelter";6588,265225174004;NULL;NULL;NULL;NULL
"loss";6578,747252739408;NULL;NULL;NULL;NULL
"Belarus";6566,9735567621665;NULL;NULL;NULL;NULL
"Kyiv";6526,6599465712925;NULL;NULL;NULL;NULL
"peace";6524,044669202705;NULL;NULL;NULL;NULL
"front";6478,574173777113;NULL;NULL;NULL;NULL
"response";6450,599178580167;NULL;NULL;NULL;NULL
"editor";6432,577391292345;NULL;NULL;NULL;NULL
"ES";6431,108353892405;NULL;NULL;NULL;NULL
"decision";6418,789828810486;NULL;NULL;NULL;NULL
"adviser";6359,720985471433;NULL;NULL;NULL;NULL
"message";6346,372333564506;NULL;NULL;NULL;NULL
"man";6345,661869430817;NULL;NULL;NULL;NULL
"H";6344,956361870961;NULL;NULL;NULL;NULL
"queen";6337,126366075922;NULL;NULL;NULL;NULL
"use";6277,472726336858;NULL;NULL;NULL;NULL
"sea";6235,2607756950865;NULL;NULL;NULL;NULL
"source";6227,825594672949;NULL;NULL;NULL;NULL
"rocket";6179,192560431755;NULL;NULL;NULL;NULL
"result";6171,317969842007;NULL;NULL;NULL;NULL
"women";6154,930877789574;NULL;NULL;NULL;NULL
"order";6142,293689629474;NULL;NULL;NULL;NULL
"convoy";6132,623758295176;NULL;NULL;NULL;NULL
"hit";6116,764027285455;NULL;NULL;NULL;NULL
"target";6109,799465305657;NULL;NULL;NULL;NULL
"Canary";6108,2248584137005;NULL;NULL;NULL;NULL
"series";6088,748725788897;NULL;NULL;NULL;NULL
"Crimea";6050,609010255726;NULL;NULL;NULL;NULL
"fighter";6047,10829769506;NULL;NULL;NULL;NULL
"runners-up";6009,123753597549;NULL;NULL;NULL;NULL
"stream";5997,859403384754;NULL;NULL;NULL;NULL
"record";5914,317218059103;NULL;NULL;NULL;NULL
"safety";5913,06652629683;NULL;NULL;NULL;NULL
"inflation";5884,869990979827;NULL;NULL;NULL;NULL
"axa";5858,805437866982;NULL;NULL;NULL;NULL
"regime";5850,621138846311;NULL;NULL;NULL;NULL
"bid";5838,319431308373;NULL;NULL;NULL;NULL
"post";5829,306980449901;NULL;NULL;NULL;NULL
"right";5806,68046200919;NULL;NULL;NULL;NULL
"fan";5805,214873669416;NULL;NULL;NULL;NULL
"help";5802,736939816396;NULL;NULL;NULL;NULL
"aircraft";5760,564685135053;NULL;NULL;NULL;NULL
"block";5758,024284799089;NULL;NULL;NULL;NULL
"administration";5742,56434336116;NULL;NULL;NULL;NULL
"network";5741,862645572202;NULL;NULL;NULL;NULL
"Joe";5686,17635679419;NULL;NULL;NULL;NULL
"M";5682,322454660736;NULL;NULL;NULL;NULL
"wharf";5636,0885540841455;NULL;NULL;NULL;NULL
"staff";5610,182927486603;NULL;NULL;NULL;NULL
"friend";5604,874919311941;NULL;NULL;NULL;NULL
"opposition";5567,160344195242;NULL;NULL;NULL;NULL
"facility";5550,354122312946;NULL;NULL;NULL;NULL
"alliance";5542,511052441066;NULL;NULL;NULL;NULL
"channel";5541,597567794544;NULL;NULL;NULL;NULL
"figure";5537,516638270269;NULL;NULL;NULL;NULL
"need";5535,5034199288875;NULL;NULL;NULL;NULL
"water";5508,5678228200095;NULL;NULL;NULL;NULL
"face";5501,782757601744;NULL;NULL;NULL;NULL
"show";5496,714539008381;NULL;NULL;NULL;NULL
"standstil";5472,148349548492;NULL;NULL;NULL;NULL
"170000";5472,148349548491;NULL;NULL;NULL;NULL
"assault";5466,73730969835;NULL;NULL;NULL;NULL
"child";5440,240834581643;NULL;NULL;NULL;NULL
"train";5438,365419736036;NULL;NULL;NULL;NULL
"word";5415,072391290538;NULL;NULL;NULL;NULL
"policy";5365,020986063816;NULL;NULL;NULL;NULL
"point";5358,132182824485;NULL;NULL;NULL;NULL
"Biden";5333,067927337851;NULL;NULL;NULL;NULL
"business";5330,060653914897;NULL;NULL;NULL;NULL
"organisation";5326,976313868078;NULL;NULL;NULL;NULL
"pressure";5295,500455217586;NULL;NULL;NULL;NULL
"Mariupol";5281,650511658907;NULL;NULL;NULL;NULL
"officer";5251,647123022615;NULL;NULL;NULL;NULL
"ceasefire";5245,6548028489005;NULL;NULL;NULL;NULL
"exit";5201,068468421944;NULL;NULL;NULL;NULL
"men";5192,187685573599;NULL;NULL;NULL;NULL
"title";5184,823394063589;NULL;NULL;NULL;NULL
"Michael";5172,481513914156;NULL;NULL;NULL;NULL
"father";5170,257391897451;NULL;NULL;NULL;NULL
"NATO";5154,26998925413;NULL;NULL;NULL;NULL
"parliament";5146,058413757896;NULL;NULL;NULL;NULL
"mobilisation";5117,223201557238;NULL;NULL;NULL;NULL
"challenge";5110,177595512861;NULL;NULL;NULL;NULL
"flag";5087,179566820548;NULL;NULL;NULL;NULL
"route";5055,844918877418;NULL;NULL;NULL;NULL
"individual";5054,222186373155;NULL;NULL;NULL;NULL
"moment";5041,910519222558;NULL;NULL;NULL;NULL
"market";5038,322893315199;NULL;NULL;NULL;NULL
"north";5031,022308218347;NULL;NULL;NULL;NULL
"Sweden";5018,247983335409;NULL;NULL;NULL;NULL
"team";5011,710906299131;NULL;NULL;NULL;NULL
"step";5009,913859968336;NULL;NULL;NULL;NULL
"east";4964,569952402602;NULL;NULL;NULL;NULL
"agreement";4957,202014774858;NULL;NULL;NULL;NULL
"160m";4946,8772075642155;NULL;NULL;NULL;NULL
"zelensky";4933,063532954229;NULL;NULL;NULL;NULL
"bank";4921,060233525367;NULL;NULL;NULL;NULL
"afp";4909,1094107783465;NULL;NULL;NULL;NULL
"guide";4901,9180670204405;NULL;NULL;NULL;NULL
"Texas";4890,649283375838;NULL;NULL;NULL;NULL
"T";4869,366021426989;NULL;NULL;NULL;NULL
"footage";4867,108411932445;NULL;NULL;NULL;NULL
"advance";4864,4231470260975;NULL;NULL;NULL;NULL
"concern";4843,830748412082;NULL;NULL;NULL;NULL
"access";4830,946454008023;NULL;NULL;NULL;NULL
"frontier";4790,598267550821;NULL;NULL;NULL;NULL
"cant";4785,36155041034;NULL;NULL;NULL;NULL
"line";4785,144005883169;NULL;NULL;NULL;NULL
"pa";4778,445956288557;NULL;NULL;NULL;NULL
"cross";4770,1581914914495;NULL;NULL;NULL;NULL
"economy";4762,856577987168;NULL;NULL;NULL;NULL
"kill";4760,994728914982;NULL;NULL;NULL;NULL
"progress";4727,683188770686;NULL;NULL;NULL;NULL
"ambassador";4699,080793310915;NULL;NULL;NULL;NULL
"military";4691,911353066927;NULL;NULL;NULL;NULL
"tv";4657,135728375145;NULL;NULL;NULL;NULL
"personnel";4616,165100161217;NULL;NULL;NULL;NULL
"Germany";4589,380269144888;NULL;NULL;NULL;NULL
"Washington";4583,1265847456925;NULL;NULL;NULL;NULL
"Nord";4577,780569268241;NULL;NULL;NULL;NULL
"square";4575,852637036768;NULL;NULL;NULL;NULL
"body";4554,842580596209;NULL;NULL;NULL;NULL
"equipment";4537,038429524026;NULL;NULL;NULL;NULL
"radio";4533,93880693679;NULL;NULL;NULL;NULL
"briton";4510,246235676571;NULL;NULL;NULL;NULL
"warn";4504,727630085588;NULL;NULL;NULL;NULL
"strip";4481,558127505967;NULL;NULL;NULL;NULL
"failure";4460,614831901494;NULL;NULL;NULL;NULL
"health";4446,771049370052;NULL;NULL;NULL;NULL
"consequence";4437,2859607543805;NULL;NULL;NULL;NULL
"partner";4417,658190817271;NULL;NULL;NULL;NULL
"speech";4411,806321855494;NULL;NULL;NULL;NULL
"Nicholas";4369,379180303648;NULL;NULL;NULL;NULL
"horror";4363,8089493825555;NULL;NULL;NULL;NULL
"destruction";4340,611334551087;NULL;NULL;NULL;NULL
"representative";4320,281107129063;NULL;NULL;NULL;NULL
"apartment";4300,8747725936555;NULL;NULL;NULL;NULL
"story";4294,123559230439;NULL;NULL;NULL;NULL
"set";4233,604464683912;NULL;NULL;NULL;NULL
"diesel";4222,787371369756;NULL;NULL;NULL;NULL
"american";4206,829890867455;NULL;NULL;NULL;NULL
"road";4198,789450494087;NULL;NULL;NULL;NULL
"theatre";4197,266689642562;NULL;NULL;NULL;NULL
"R";4187,886709166725;NULL;NULL;NULL;NULL
"victim";4180,759386051892;NULL;NULL;NULL;NULL
"David";4152,471936082257;NULL;NULL;NULL;NULL
"son";4131,555749177311;NULL;NULL;NULL;NULL
"humanity";4127,451214614142;NULL;NULL;NULL;NULL
"pipeline";4120,4519881788265;NULL;NULL;NULL;NULL
"role";4088,5734458517773;NULL;NULL;NULL;NULL
"offensive";4084,1703340444906;NULL;NULL;NULL;NULL
"boss";4073,5526018851515;NULL;NULL;NULL;NULL
"petrol";4058,7538306247147;NULL;NULL;NULL;NULL
"Chernobyl";4057,821447112172;NULL;NULL;NULL;NULL
"cent";4041,949348829648;NULL;NULL;NULL;NULL
"column";4037,6321488935364;NULL;NULL;NULL;NULL
"New";4034,2576021200184;NULL;NULL;NULL;NULL
"Truss";4012,180830761818;NULL;NULL;NULL;NULL
"China";4009,537996857933;NULL;NULL;NULL;NULL
"school";3997,8001337586566;NULL;NULL;NULL;NULL
"marvel";3985,2569449414395;NULL;NULL;NULL;NULL
"community";3977,6032274677314;NULL;NULL;NULL;NULL
"territory";3955,2990534320215;NULL;NULL;NULL;NULL
"girl";3940,6707054942317;NULL;NULL;NULL;NULL
"Bill";3939,2163935320823;NULL;NULL;NULL;NULL
"parent";3931,5247297550554;NULL;NULL;NULL;NULL
"detail";3919,5306896018596;NULL;NULL;NULL;NULL
"heart";3912,724595299805;NULL;NULL;NULL;NULL
"expert";3905,2992844629753;NULL;NULL;NULL;NULL
"commander";3865,8127842856734;NULL;NULL;NULL;NULL
"evidence";3846,0501050220532;NULL;NULL;NULL;NULL
"oligarch";3835,76190150871;NULL;NULL;NULL;NULL
"gap";3834,9496969465995;NULL;NULL;NULL;NULL
"worker";3829,8206741607446;NULL;NULL;NULL;NULL
"McLoughlin";3797,9575702066772;NULL;NULL;NULL;NULL
"aggression";3788,814444089639;NULL;NULL;NULL;NULL
"impact";3774,352264030933;NULL;NULL;NULL;NULL
"development";3772,600281238016;NULL;NULL;NULL;NULL
"scheme";3771,3436793424908;NULL;NULL;NULL;NULL
"kind";3763,2532409416785;NULL;NULL;NULL;NULL
"outlet";3761,5784928599437;NULL;NULL;NULL;NULL
"second";3751,4904498783085;NULL;NULL;NULL;NULL
"United";3748,619874859454;NULL;NULL;NULL;NULL
"mod";3711,144609199809;NULL;NULL;NULL;NULL
"misinformation";3703,221303631863;NULL;NULL;NULL;NULL
"view";3698,526980586714;NULL;NULL;NULL;NULL
"firm";3686,5699485352525;NULL;NULL;NULL;NULL
"district";3682,2278467718147;NULL;NULL;NULL;NULL
"volunteer";3681,700071947458;NULL;NULL;NULL;NULL
"case";3681,496320428588;NULL;NULL;NULL;NULL
"scientist";3681,284091346773;NULL;NULL;NULL;NULL
"spokesman";3677,419508000692;NULL;NULL;NULL;NULL
"Cecil";3677,3373523348323;NULL;NULL;NULL;NULL
"programme";3673,7699972182418;NULL;NULL;NULL;NULL
"enemy";3672,7394436344257;NULL;NULL;NULL;NULL
"Burford";3666,641819411947;NULL;NULL;NULL;NULL
"Rachael";3666,641819411947;NULL;NULL;NULL;NULL
"arm";3645,5087417260843;NULL;NULL;NULL;NULL
"basement";3626,3987685955126;NULL;NULL;NULL;NULL
"fuel";3623,4846239273857;NULL;NULL;NULL;NULL
"wife";3615,9612327068294;NULL;NULL;NULL;NULL
"Ian";3610,3158835164745;NULL;NULL;NULL;NULL
"account";3591,32104349918;NULL;NULL;NULL;NULL
"siege";3588,892600575081;NULL;NULL;NULL;NULL
"airport";3588,795482035145;NULL;NULL;NULL;NULL
"walk";3583,04970113166;NULL;NULL;NULL;NULL
"eu";3564,779816295239;NULL;NULL;NULL;NULL
"battle";3562,3759908122734;NULL;NULL;NULL;NULL
"south";3525,0841715736115;NULL;NULL;NULL;NULL
"risk";3524,7215513731894;NULL;NULL;NULL;NULL
"hand";3523,8863216802893;NULL;NULL;NULL;NULL
"toll";3523,8310885116143;NULL;NULL;NULL;NULL
"couple";3522,6740193855176;NULL;NULL;NULL;NULL
"base";3520,8961861993043;NULL;NULL;NULL;NULL
"fund";3519,859889235285;NULL;NULL;NULL;NULL
"committee";3506,7252320164625;NULL;NULL;NULL;NULL
"phone";3505,020810324361;NULL;NULL;NULL;NULL
"measure";3496,035410811104;NULL;NULL;NULL;NULL
"level";3491,898825145509;NULL;NULL;NULL;NULL
"Daniel";3478,0753285145024;NULL;NULL;NULL;NULL
"weekend";3466,19127441193;NULL;NULL;NULL;NULL
"daughter";3462,9748691294008;NULL;NULL;NULL;NULL
"performance";3453,62390423885;NULL;NULL;NULL;NULL
"light";3444,0845390413006;NULL;NULL;NULL;NULL
"activity";3419,0188942089408;NULL;NULL;NULL;NULL
"mural";3405,9224201672487;NULL;NULL;NULL;NULL
"embassy";3404,966380783113;NULL;NULL;NULL;NULL
"museum";3403,256987569837;NULL;NULL;NULL;NULL
"drama";3397,4137921001034;NULL;NULL;NULL;NULL
"satellite";3392,417608983785;NULL;NULL;NULL;NULL
"process";3379,491353097784;NULL;NULL;NULL;NULL
"bravery";3376,932989462751;NULL;NULL;NULL;NULL
"Street";3373,836998519977;NULL;NULL;NULL;NULL
"unit";3361,754896794007;NULL;NULL;NULL;NULL
"tactics";3345,2991740346533;NULL;NULL;NULL;NULL
"York";3337,1873232566477;NULL;NULL;NULL;NULL
"actor";3334,0620538490084;NULL;NULL;NULL;NULL
"violence";3327,740949239479;NULL;NULL;NULL;NULL
"Keane";3323,2148468780156;NULL;NULL;NULL;NULL
"visit";3321,4688334077023;NULL;NULL;NULL;NULL
"campaign";3313,60646077569;NULL;NULL;NULL;NULL
"plane";3305,3429633710416;NULL;NULL;NULL;NULL
"Downing";3304,4063521546177;NULL;NULL;NULL;NULL
"licence";3291,248914198938;NULL;NULL;NULL;NULL
"wave";3247,5620772120938;NULL;NULL;NULL;NULL
"invader";3238,588231720658;NULL;NULL;NULL;NULL
"space";3238,318094376078;NULL;NULL;NULL;NULL
"demand";3219,5964719705107;NULL;NULL;NULL;NULL
"link";3204,0533476459877;NULL;NULL;NULL;NULL
"Wallace";3197,656752594495;NULL;NULL;NULL;NULL
"Liz";3192,2158678283167;NULL;NULL;NULL;NULL
"leak";3192,1155107770787;NULL;NULL;NULL;NULL
"technology";3190,217213995031;NULL;NULL;NULL;NULL
"truth";3186,0134782095283;NULL;NULL;NULL;NULL
"freedom";3181,5415224421026;NULL;NULL;NULL;NULL
"relative";3176,0055133923756;NULL;NULL;NULL;NULL
"television";3168,3391662271065;NULL;NULL;NULL;NULL
"Sergei";3167,961654428713;NULL;NULL;NULL;NULL
"States";3167,6192278144485;NULL;NULL;NULL;NULL
"act";3165,506675755396;NULL;NULL;NULL;NULL
"director";3151,0456993665894;NULL;NULL;NULL;NULL
"responsibility";3147,2770452958216;NULL;NULL;NULL;NULL
"letter";3145,3700720372967;NULL;NULL;NULL;NULL
"damage";3145,122709374069;NULL;NULL;NULL;NULL
"conference";3112,0940452025948;NULL;NULL;NULL;NULL
"Eurovision";3099,008605981469;NULL;NULL;NULL;NULL
"combat";3095,72729494332;NULL;NULL;NULL;NULL
"negotiation";3093,910061299473;NULL;NULL;NULL;NULL
"button";3087,71898693101;NULL;NULL;NULL;NULL
"objective";3082,777246012339;NULL;NULL;NULL;NULL
"Sir";3080,4609443638074;NULL;NULL;NULL;NULL
"return";3065,9220871317557;NULL;NULL;NULL;NULL
"atrocity";3061,5531039067037;NULL;NULL;NULL;NULL
"turmoil";3058,4164164684926;NULL;NULL;NULL;NULL
"colleague";3057,5292032513466;NULL;NULL;NULL;NULL
"department";3017,505466511487;NULL;NULL;NULL;NULL
"communication";3012,695980688314;NULL;NULL;NULL;NULL
"protester";3012,4071996421303;NULL;NULL;NULL;NULL
"delegation";3009,3831192694574;NULL;NULL;NULL;NULL
"sector";2998,8812596726343;NULL;NULL;NULL;NULL
"round";2992,939992336421;NULL;NULL;NULL;NULL
"catastrophe";2990,4346061201563;NULL;NULL;NULL;NULL
"airstrike";2982,0938578898886;NULL;NULL;NULL;NULL
