name;score;marked; communityId
"ukrainian";510,66666666666663;FALSE;199
"donetsk";168,16666666666669;FALSE;199
"Kremlin";146,83333333333334;TRUE;199
"cent";52,0;FALSE;199
"east";32,5;FALSE;199
"claim";32,166666666666664;TRUE;199
"election";23,666666666666664;FALSE;199
"lie";2,5;FALSE;199
"protest";1,0;FALSE;199
"month";0,5;FALSE;199
"phone";0,0;FALSE;199
"airport";0,0;FALSE;199
"personnel";0,0;FALSE;199
"kill";0,0;FALSE;199
"elite";0,0;FALSE;199
"independence";0,0;FALSE;199
"Kravchuk";0,0;FALSE;199
"referendum";0,0;FALSE;199
"elect";0,0;FALSE;199
"Kuchma";0,0;FALSE;199
"observer";0,0;FALSE;199
"vote";0,0;FALSE;199
"irregularity";0,0;FALSE;199
"candidate";0,0;FALSE;199
"Viktor";0,0;FALSE;199
"Yanukovich";0,0;FALSE;199
"allegation";0,0;FALSE;199
"revolution";0,0;FALSE;199
"re-run";0,0;FALSE;199
"republics";0,0;FALSE;199
"fact";0,0;FALSE;199
"reality";0,0;FALSE;199
"poll";0,0;FALSE;199
"rate";0,0;FALSE;199
"group";0,0;FALSE;199
"responsibility";0,0;FALSE;199
"guilt";0,0;FALSE;199
"infrastructure";0,0;FALSE;199
"opponent";0,0;FALSE;199
"annex";0,0;FALSE;199
"rebel";0,0;FALSE;199
"uprise";0,0;FALSE;199
"establishment";0,0;FALSE;199
"evacuation";0,0;FALSE;199
"Ukraine";2554,455461205461;TRUE;4
"force";1222,4194555444556;TRUE;4
"Moscow";1059,2267316017312;TRUE;4
"air";909,6368326118328;FALSE;4
"ga";850,5385392385394;FALSE;4
"sea";541,4012376512378;FALSE;4
"talk";466,89895382395406;TRUE;4
"vehicle";443,502380952381;FALSE;4
"price";389,30911310911307;FALSE;4
"area";301,21349206349197;FALSE;4
"plane";288,0;FALSE;4
"Belarus";274,9642857142856;TRUE;4
"deal";265,7015734265735;FALSE;4
"Vladimir";233,5195165945165;TRUE;4
"NATO";227,72748917748925;TRUE;4
"interior";226,85043290043296;FALSE;4
"time";205,60389610389598;FALSE;4
"north";185,68722943722946;FALSE;4
"wave";181,79312076812082;FALSE;4
"flag";175,0;FALSE;4
"move";174,01190476190476;FALSE;4
"Germany";150,25634920634917;FALSE;4
"position";140,0;FALSE;4
"capital";97,85032467532466;TRUE;4
"Anton";89,85043290043288;FALSE;4
"land";87,25086580086578;FALSE;4
"Canada";66,58095238095238;FALSE;4
"Thursday";55,6547619047619;FALSE;4
"Nord";43,511904761904766;FALSE;4
"stream";43,511904761904766;FALSE;4
"order";42,93968253968254;FALSE;4
"date";35,0;FALSE;4
"Australia";25,0;FALSE;4
"Britain";23,107142857142854;FALSE;4
"Chernobyl";20,121428571428567;FALSE;4
"plant";20,121428571428567;FALSE;4
"flank";19,460714285714282;FALSE;4
"address";17,836446886446883;FALSE;4
"gunfire";15,788095238095234;TRUE;4
"explosion";15,788095238095234;TRUE;4
"Minsk";12,716666666666674;FALSE;4
"delegation";9,227777777777778;FALSE;4
"envoy";4,625;FALSE;4
"top";2,011904761904762;FALSE;4
"penalty";2,011904761904762;FALSE;4
"fight";2,0;FALSE;4
"stock";1,7249999999999996;FALSE;4
"oil";1,7249999999999996;FALSE;4
"exchange";1,2913170163170165;FALSE;4
"lease";1,2913170163170165;FALSE;4
"navy";1,2913170163170165;FALSE;4
"port";1,2913170163170165;FALSE;4
"November";0,34965034965034963;FALSE;4
"ty";0,34965034965034963;FALSE;4
"rage";0,0;FALSE;4
"quarter";0,0;FALSE;4
"snowplow";0,0;FALSE;4
"limit";0,0;FALSE;4
"movement";0,0;FALSE;4
"spy";0,0;FALSE;4
"shell";0,0;FALSE;4
"airstrike";0,0;FALSE;4
"secretary";0,0;FALSE;4
"series";0,0;FALSE;4
"preparation";0,0;FALSE;4
"trigger";0,0;FALSE;4
"rally";0,0;FALSE;4
"passenger";0,0;FALSE;4
"route";0,0;FALSE;4
"Amsterdam";0,0;FALSE;4
"Kuala";0,0;FALSE;4
"Lumpur";0,0;FALSE;4
"servant";0,0;FALSE;4
"bayraktar";0,0;FALSE;4
"drone";0,0;FALSE;4
"visit";0,0;FALSE;4
"sang-froid";0,0;FALSE;4
"zelenskiy";0,0;FALSE;4
"anthem";0,0;FALSE;4
"unison";0,0;FALSE;4
"media";0,0;FALSE;4
"statehood";0,0;FALSE;4
"certification";0,0;FALSE;4
"pipeline";0,0;FALSE;4
"demilitarise";0,0;FALSE;4
"peace";0,0;FALSE;4
"siren";0,0;FALSE;4
"front";0,0;FALSE;4
"advance";0,0;FALSE;4
"site";0,0;FALSE;4
"ministry";0,0;FALSE;4
"advisor";0,0;FALSE;4
"Gerashchenko";0,0;FALSE;4
"shot";0,0;FALSE;4
"aircraft";0,0;FALSE;4
"way";0,0;FALSE;4
"America";0,0;FALSE;4
"Japan";0,0;FALSE;4
"chief";0,0;FALSE;4
"effort";0,0;FALSE;4
"decade";0,0;FALSE;4
"charge";0,0;FALSE;4
"Hungary";0,0;FALSE;4
"act";0,0;FALSE;4
"product";0,0;FALSE;4
"2019";0,0;FALSE;4
"aviation";0,0;FALSE;4
"prayer";0,0;FALSE;4
"loss";0,0;FALSE;4
"life";0,0;FALSE;4
"suffer";0,0;FALSE;4
"status";0,0;FALSE;4
"pm";0,0;FALSE;4
"Scott";0,0;FALSE;4
"Morrison";0,0;FALSE;4
"law";0,0;FALSE;4
"effect";0,0;FALSE;4
"Jens";0,0;FALSE;4
"Stoltenberg";0,0;FALSE;4
"diplomacy";0,0;FALSE;4
"official";134,16666666666669;FALSE;11
"people";125,41666666666666;TRUE;11
"war";48,33333333333333;TRUE;11
"invasion";44,5;TRUE;11
"state";37,33333333333333;TRUE;11
"west";15,916666666666666;TRUE;11
"kyiv";9,0;TRUE;11
"home";6,333333333333333;FALSE;11
"troop";0,0;TRUE;11
"dawn";0,0;FALSE;11
"authority";0,0;FALSE;11
"drug";0,0;FALSE;11
"addict";0,0;FALSE;11
"neo-nazis";0,0;FALSE;11
"head";0,0;FALSE;11
"defence";0,0;TRUE;11
"kilometre";0,0;FALSE;11
"Antony";0,0;FALSE;11
"Blinken";0,0;FALSE;11
"siege";0,0;FALSE;11
"object";0,0;FALSE;11
"apartment";0,0;FALSE;11
"block";0,0;FALSE;11
"rocket";0,0;FALSE;11
"place";0,0;FALSE;11
"Friday";303,83333333333337;FALSE;554
"minister";252,91666666666666;TRUE;554
"sanction";197,16666666666666;TRUE;554
"target";190,91666666666666;TRUE;554
"member";168,91666666666663;FALSE;554
"missile";149,5;TRUE;554
"call";94,75;FALSE;554
"power";84,5;TRUE;554
"bank";71,5;FALSE;554
"agency";56,0;FALSE;554
"video";53,83333333333333;FALSE;554
"alliance";49,333333333333336;TRUE;554
"Zelensky";35,666666666666664;TRUE;554
"enemy";24,083333333333336;FALSE;554
"end";23,0;FALSE;554
"advice";20,33333333333333;FALSE;554
"membership";14,5;TRUE;554
"number";6,75;FALSE;554
"government";6,0;TRUE;554
"path";5,5;FALSE;554
"event";3,0;FALSE;554
"spokesman";0,0;FALSE;554
"Dmitry";0,0;FALSE;554
"Peskov";0,0;FALSE;554
"zelensky";0,0;FALSE;554
"economy";0,0;FALSE;554
"help";0,0;FALSE;554
"european";0,0;FALSE;554
"Zelenskys";0,0;FALSE;554
"whereabout";0,0;FALSE;554
"list";0,0;FALSE;554
"Magdalena";0,0;FALSE;554
"Andersson";0,0;FALSE;554
"capture";0,0;FALSE;554
"assassination";0,0;FALSE;554
"step";0,0;FALSE;554
"Boris";0,0;FALSE;554
"Johnson";0,0;FALSE;554
"timeline";0,0;FALSE;554
"French";0,0;FALSE;554
"Crimea";0,0;TRUE;554
"week";0,0;FALSE;554
"expansion";0,0;FALSE;554
"raise";0,0;FALSE;554
"anxiety";0,0;FALSE;554
"moratorium";0,0;FALSE;554
"requirement";0,0;FALSE;554
"assistance";0,0;FALSE;554
"bloc";0,0;FALSE;554
"individual";0,0;FALSE;554
"bloodsh";0,0;FALSE;554
"street";0,0;FALSE;554
"traffic";0,0;FALSE;554
"possibility";0,0;FALSE;554
"US";1344,0799032721977;FALSE;510
"Russia";1099,249051233059;TRUE;510
"president";697,9059459401137;TRUE;510
"nation";632,8260081965964;FALSE;510
"Europe";602,331106370252;TRUE;510
"leader";573,1195111322018;TRUE;510
"soldier";411,21558441558443;TRUE;510
"world";394,0193666140646;TRUE;510
"action";345,38205800047905;TRUE;510
"day";335,9962311981833;FALSE;510
"meet";302,96401813048806;FALSE;510
"country";273,5878289651683;TRUE;510
"russian";248,3829080620102;FALSE;510
"Monday";226,38693341678822;FALSE;510
"night";226,38693341678822;FALSE;510
"shield";177,64350345997354;FALSE;510
"Nato";175,13414684444092;FALSE;510
"Putin";168,18009490642802;TRUE;510
"United";166,95507102546577;FALSE;510
"States";166,95507102546577;FALSE;510
"attack";148,95662275604224;TRUE;510
"new";138,04081562972215;FALSE;510
"research";138,0;FALSE;510
"ally";130,80954326727925;TRUE;510
"house";123,02951151825928;FALSE;510
"morn";117,10218095744409;FALSE;510
"risk";68,20121054985609;FALSE;510
"conflict";66,59011854731669;FALSE;510
"plot";48,64017063295649;FALSE;510
"moment";44,10961260961261;FALSE;510
"civilian";35,075;FALSE;510
"army";32,668901420217196;TRUE;510
"measure";30,49920634920635;FALSE;510
"Biden";29,661640211640194;FALSE;510
"appeal";26,69488936988937;FALSE;510
"partner";24,633753673227353;FALSE;510
"Joe";13,20687830687831;FALSE;510
"destruction";9,278727193858773;FALSE;510
"genocide";8,386308639938404;TRUE;510
"rhetoric";7,14585721696189;FALSE;510
"feel";7,14585721696189;FALSE;510
"Eurasia";4,797559762782084;FALSE;510
"programme";4,797559762782084;FALSE;510
"Chatham";4,797559762782084;FALSE;510
"majority";4,100929033127175;FALSE;510
"favour";4,100929033127175;FALSE;510
"response";0,9940476190476191;FALSE;510
"death";0,5;FALSE;510
"guarantee";0,3333333333333333;FALSE;510
"AP";0,0;FALSE;510
"ambition";0,0;FALSE;510
"word";0,0;FALSE;510
"nationalist";0,0;FALSE;510
"children";0,0;FALSE;510
"wive";0,0;FALSE;510
"elder";0,0;FALSE;510
"spetsnaz";0,0;FALSE;510
"orbit";0,0;FALSE;510
"Jan";0,0;FALSE;510
"Dec";0,0;FALSE;510
"standby";0,0;FALSE;510
"Poland";0,0;FALSE;510
"Romania";0,0;FALSE;510
"thing";0,0;FALSE;510
